Publishers,Citation Count
10th International Conference on X-ray Microscopy,16
2011 Physics Education Research Conference,11
2012 Physics Education Research Conference,5
2D Materials,35
2nd International Conference on Emerging Technologies: Micro to Nano 2015 (ETMN-2015): Contributory papers presented in 2nd International Conference on Emerging Technologies: Micro to Nano 2015,9
2nd International Symposium on Aqua Science, Water ReSource and Low Carbon Energy,15
42nd COSPAR Scientific Assembly,0
A Guide to Monte Carlo Simulations in Statistical Physics,84
ACS Earth and Space Chemistry,5
AGU Fall Meeting Abstracts,0
AIP Advances,68
APL Materials,14
APL Photonics,39
APS March Meeting Abstracts,0
Acoustical Physics,11
Acoustical Society of America Journal,52
Acta Astronautica,166
Acta Mechanica Sinica,33
Acta Oecologica,4
Advances in Natural Sciences: Nanoscience and Nanotechnology,12
Advances in Physics,568
Advances in Space Research,137
Advances in Water Resources,151
Advancing Astrophysics with the Square Kilometre Array (AASKA14),13
Aeolian Research,72
American Astronomical Society Meeting Abstracts #229,0
American Astronomical Society Meeting Abstracts #233,1
American Geophysical Union,0
American Journal of Physics,257
An Introduction to Astrobiology,4
An Introduction to Quantum Monte Carlo Methods,13
Analytical Chemistry,49
Annalen der Physik,33
Annals of Physics,30
Annals of the New York Academy of Sciences,18
Annual Review of Analytical Chemistry,148
Annual Review of Condensed Matter Physics,1954
Annual Review of Earth and Planetary Sciences,360
Annual Review of Fluid Mechanics,911
Annual Review of Marine Science,1483
Annual Review of Materials Science,586
Annual Review of Physical Chemistry,1198
Application of Mathematics in Technical and Natural Sciences: 9th International Conference for Promoting the Application of Mathematics in Technical and Natural Sciences - AMiTaNS'17,8
Applied Mathematics and Computer Science,3
Applied Nanoscience,141
Applied Optics,14
Applied Physics A: Materials Science & Processing,375
Applied Physics B: Lasers and Optics,44
Applied Physics Express,12
Applied Physics Letters,3093
Applied Physics Reviews,292
Applied Surface Science,196
Applied Water Science,63
Archive for Rational Mechanics and Analysis,16
Asteroids IV,44
Astrobiology,2173
Astrobiology, History, and Society,4
Astronomical School's Report,3
Astronomy and Astrophysics,2360
Astronomy and Astrophysics Review,41
Astronomy and Geophysics,16
Astronomy and Relativistic Astrophysics.  New Phenomena and New States of Matter in the Universe,1
Astroparticle Physics,20
Astrophysics and Space Science,15
Atmospheric Chemistry & Physics,3131
Atmospheric Environment,296
Atmospheric Measurement Techniques,288
Atmospheric Research,243
Biofabrication,232
Biogeosciences,4480
Bioinspiration and Biomimetics,293
Biomedical Materials,55
Biophysical Journal,1167
Biosensing and Nanomedicine VII,0
Boundary-Layer Meteorology,30
Brazilian Journal of Physics,23
Bulletin of the American Astronomical Society,0
Bulletin of the American Meteorological Society,40
Challenges,15
Chaos,766
Chaos Solitons and Fractals,228
Chemical Physics,17
Chemical Physics Letters,242
Chinese Physics B,67
Classical and Quantum Gravity,8
Climate Dynamics,23
Climate of the Past,94
Communications Physics,34
Communications in Nonlinear Science and Numerical Simulations,610
Communications in Theoretical Physics,0
Communications of the Byurakan Astrophysical Observatory,0
Complex Networks,315
Complexity,35
Comptes Rendus Geoscience,39
Comptes Rendus Mecanique,25
Computer Methods in Applied Mechanics and Engineering,22
Computer Physics Communications,1638
Connection Science,2
Contemporary Physics,513
Contextuality From Quantum Physics to Psychology,0
Continental Shelf Research,387
Coral Reefs,206
Coverage Control in Sensor Networks:,126
Cultural Studies of Science Education,46
Current Applied Physics,100
Deep Sea Research Part I: Oceanographic Research,267
Deep Sea Research Part II: Topical Studies in Oceanography,962
Dynamical Processes on Complex Networks,20
