,Publishers
arXiv e-prints,1066
Proceedings of the National Academy of Science,568
Physical Review E,541
Physical Review Letters,452
Science,443
Nature,442
Scientific Reports,413
Nature Communications,382
The Astrophysical Journal,198
Journal of Chemical Physics,161
PLoS Computational Biology,154
PLoS ONE,129
Journal of Geophysical Research (Oceans),124
Geophysical Research Letters,122
New Journal of Physics,101
Biogeosciences,101
Global Biogeochemical Cycles,95
Nature Nanotechnology,92
Applied Physics Letters,89
Nanoscale,86
Astrobiology,83
Biophysical Journal,75
Nature Photonics,74
Nature Physics,73
EPL (Europhysics Letters),67
Nature Materials,62
Soft Matter,61
Nature Geoscience,59
Nature Chemistry,58
Atmospheric Chemistry & Physics,56
Physics in Medicine and Biology,56
Physical Review X,49
Astronomy and Astrophysics,48
Geochimica et Cosmochimica Acta,47
Reports on Progress in Physics,45
Physical Biology,45
Journal of Physics D Applied Physics,44
Journal of Biomedical Optics,44
Physics Reports,42
Earth and Planetary Science Letters,41
Monthly Notices of the Royal Astronomical Society,41
Physica A Statistical Mechanics and its Applications,41
Chaos,40
Philosophical Transactions of the Royal Society of London Series A,38
Reviews of Modern Physics,36
Journal of Physics A Mathematical General,35
Journal of Statistical Physics,34
Journal of Geophysical Research (Atmospheres),33
Journal of Physics Condensed Matter,33
Progress in Oceanography,31
Nanotechnology,30
Journal of Statistical Mechanics: Theory and Experiment,30
Deep Sea Research Part II: Topical Studies in Oceanography,29
International Journal of Astrobiology,28
Nature Climate Change,27
The Astronomical Journal,27
Annual Review of Marine Science,26
International Journal of Science Education,26
Journal of Mechanics Physics of Solids,25
Ph.D. Thesis,25
Spectrochimica Acta Part A: Molecular Spectroscopy,25
Journal of Molecular Structure,24
Optics Express,24
Journal of Geophysical Research (Biogeosciences),24
Physics of Life Reviews,23
Paleoceanography,23
Science Advances,23
Journal of Applied Physics,22
Communications in Nonlinear Science and Numerical Simulations,22
Estuarine Coastal and Shelf Science,22
Earth Science Reviews,22
Review of Scientific Instruments,21
Physical Review A,20
Icarus,19
Bioinspiration and Biomimetics,19
Research in Science Education,19
Annual Review of Physical Chemistry,18
Physical Review B,17
Proceedings of the Royal Society of London Series A,16
Journal of Fluid Mechanics,16
Annual Review of Condensed Matter Physics,16
Nano Letters,16
Journal of Optics,16
Entropy,15
Physics of Fluids,15
Physica D Nonlinear Phenomena,14
Continental Shelf Research,14
American Journal of Physics,14
Reviews of Geophysics,14
